region,F,pval
Left-Lateral-Ventricle,1.0206430495588381,0.3136057630898347
Left-Inf-Lat-Vent,1.6854441297971534,0.19572043209878098
Left-Cerebellum-White-Matter,12.02442098691383,0.0006446915909087274
Left-Cerebellum-Cortex,16.32819211931009,7.632435519252796e-05
Left-Thalamus,8.736695137071377,0.003499318292068965
Left-Caudate,0.1434272985522273,0.7053051427312882
Left-Putamen,2.284049525104235,0.13231260551465662
Left-Pallidum,6.897379825005703,0.009310654800346999
3rd-Ventricle,0.2949944371684032,0.5876516200232871
4th-Ventricle,0.2917433594365918,0.589715580147653
Brain-Stem,10.599004071211352,0.001331992527425014
Left-Hippocampus,5.290668872876587,0.022487486040251553
Left-Amygdala,3.4569166231603683,0.06447886018787503
CSF,0.0752636220643671,0.78410915080529
Left-Accumbens-area,3.3369905611841033,0.06925176323484633
Left-VentralDC,11.343860174008636,0.0009104080248128669
Left-vessel,0.4079786407859218,0.5237391526298001
Left-choroid-plexus,0.01868180073037256,0.8914222251278134
Right-Lateral-Ventricle,1.311121485156573,0.253580894813685
Right-Inf-Lat-Vent,3.2995629919371954,0.07081824526509269
Right-Cerebellum-White-Matter,16.365274010715346,7.495834417484598e-05
Right-Cerebellum-Cortex,13.44117579451726,0.0003165723974500339
Right-Thalamus,8.32376223466915,0.004348789182086575
Right-Caudate,0.7318710080045767,0.39331667246268076
Right-Putamen,1.925848971457802,0.16678093614283646
Right-Pallidum,16.892373276676853,5.8019036828527154e-05
Right-Hippocampus,11.306055748609444,0.0009280951731443787
Right-Amygdala,8.176143722904643,0.0047015878259649355
Right-Accumbens-area,9.42787254476774,0.0024387691578064336
Right-VentralDC,14.008334447218468,0.00023874247529894114
Right-vessel,0.17950019600672673,0.6722653324568113
Right-choroid-plexus,0.06502217605554943,0.7989933828146571
5th-Ventricle,0.5952863648996193,0.4413066471815369
WM-hypointensities,4.600474349349287,0.03318761754255996
Left-WM-hypointensities,,
Right-WM-hypointensities,,
non-WM-hypointensities,1.238969743694915,0.2670260426947008
Left-non-WM-hypointensities,,
Right-non-WM-hypointensities,,
Optic-Chiasm,2.8246551997721263,0.0944116767362959
CC_Posterior,2.2889283161514853,0.1319024622942701
CC_Mid_Posterior,1.7618979393587342,0.18592416706624657
CC_Central,2.088521891097787,0.1499984051016447
CC_Mid_Anterior,7.49676176258332,0.0067472683855871315
CC_Anterior,0.1321376811778788,0.7166156182652382
BrainSegVol,10.662526880764458,0.0012893046582589196
BrainSegVolNotVent,13.255699860406729,0.00034728111639560947
lhCortexVol,7.916036012425599,0.005396538994125982
rhCortexVol,7.463079913665669,0.006869886051268472
CortexVol,7.739676839185658,0.005927122088109789
lhCerebralWhiteMatterVol,8.936535468221471,0.0031513577074919665
rhCerebralWhiteMatterVol,8.761203440955757,0.00345460579783548
CerebralWhiteMatterVol,8.88683394961014,0.0032344384079511673
SubCortGrayVol,11.385602635617657,0.0008912775548392358
TotalGrayVol,12.08928570030597,0.0006239065467683672
SupraTentorialVol,8.205355313950049,0.004629511371166525
SupraTentorialVolNotVent,10.562258157133167,0.001357342616908487
MaskVol,9.658947667574653,0.002162981744891796
BrainSegVol-to-eTIV,1.462188016270878,0.22803151989112816
MaskVol-to-eTIV,0.5748602713693433,0.4492400828452825
lhSurfaceHoles,1.8660669724048746,0.17348361303934828
rhSurfaceHoles,0.7878578208447236,0.37583105152082585
SurfaceHoles,1.4875438836846948,0.22405610757824515
EstimatedTotalIntraCranialVol,5.766296251661603,0.017265876566217538
