region,n_tests,n_significant,proportion_significant,mean_F,std_F,min_F,max_F,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
Left-Caudate,26,0,0.0,1.1312352514992248,0.6625360528275442,0.15332619048143042,2.9186343346282713,0.33405214116497545,0.15686230489798322,0.08922121471956769,0.6958226174538635,192.0,192.0,192.0
Left-Amygdala,26,0,0.0,0.3690784410365452,0.6503802630301335,0.0021900192967335896,3.280164212112133,0.6579520555507561,0.2207147280357884,0.07172667074933377,0.9627244478877701,192.0,192.0,192.0
Left-Accumbens-area,26,0,0.0,0.5942186965049756,0.5758832387645507,0.006278673668890578,1.8828807775874514,0.5291522734395826,0.227766519465931,0.17165083801219616,0.9369279839189246,192.0,192.0,192.0
Left-Pallidum,26,0,0.0,0.5480883974000991,0.6143159555068233,0.002486946283163904,2.2627884639386417,0.5661985230488686,0.2457867910956889,0.1342023279000455,0.9602797735177081,192.0,192.0,192.0
Left-Hippocampus,26,0,0.0,0.5185279007797006,0.7612641240156456,4.280284990684928e-05,2.9738999199005107,0.6372675910489638,0.2930150460842624,0.08627003814284509,0.9947869404603356,192.0,192.0,192.0
Left-Inf-Lat-Vent,26,0,0.0,0.25583037360724853,0.31076678515944106,0.0002614058596741929,1.1262348167579561,0.7018673082720911,0.2168835059420812,0.2899485689893915,0.9871175610244975,192.0,192.0,192.0
Left-Lateral-Ventricle,26,0,0.0,0.02052422493788124,0.021593280442806416,1.975183783685492e-06,0.07627757500481606,0.9053052001431544,0.06353487252856097,0.782711774825988,0.9988801417125164,192.0,192.0,192.0
Left-VentralDC,26,0,0.0,0.38521567549724633,0.5115696842795727,0.005959251809733106,1.8952708921764994,0.6358255868618584,0.22664351351428397,0.170254630446555,0.9385500051534802,192.0,192.0,192.0
Left-Thalamus,26,0,0.0,0.3909468237840016,0.4933580172440432,0.0011225964058829763,1.7540283689077598,0.6437921342505107,0.246317658111058,0.18698747875559688,0.9733074788257999,192.0,192.0,192.0
Left-Putamen,26,0,0.0,0.28921265706732036,0.4557759202253151,5.596696971967635e-05,1.6235446982641553,0.7233954062605675,0.2518695531470768,0.20417945940880505,0.9940389703706966,192.0,192.0,192.0
Left-WM-hypointensities,0,0,0.0,,,,,,,,,0.0,0.0,0.0
CC_Anterior,26,0,0.0,0.5061401052954076,0.4590897096347755,0.0003048290126901556,1.5356842798667396,0.5584406492718417,0.2258293391359908,0.21681440730377977,0.986088773409795,192.0,192.0,192.0
CC_Central,26,0,0.0,0.3140457699925746,0.4311190206505505,0.00020191774654883103,1.7223551624457478,0.6803857735539948,0.23216079339938495,0.19099870973184943,0.9886777690646502,192.0,192.0,192.0
CC_Mid_Anterior,26,0,0.0,0.6017052843767222,0.6969184173761457,0.00027629329582741014,2.3115474624470917,0.564359215798738,0.26916214357345586,0.13010517528404233,0.9867558367648986,192.0,192.0,192.0
CC_Mid_Posterior,26,0,0.0,0.6489214166201632,0.7051227835995111,1.602272823209119e-07,2.243626771027527,0.5368371508023657,0.25787314064160904,0.13585205626458582,0.9996810462755218,192.0,192.0,192.0
Right-Accumbens-area,26,0,0.0,0.45216011363484443,0.5780945929224639,6.416405449691261e-07,1.952694180427731,0.6188525207229312,0.24885776111514926,0.1639525524180457,0.9993617287102612,192.0,192.0,192.0
MaskVol-to-eTIV,26,0,0.0,0.318638452236016,0.10340061763148765,0.14401358042644502,0.5353253643000987,0.5798172086238087,0.06403956602523533,0.4652924274947706,0.7047537256734198,192.0,192.0,192.0
MaskVol,26,0,0.0,1.006414478512436,0.2569598637530732,0.588090855462913,1.5224797482541481,0.3245846420062045,0.0613290836178211,0.21879313371398285,0.4441253989118722,192.0,192.0,192.0
Left-non-WM-hypointensities,0,0,0.0,,,,,,,,,0.0,0.0,0.0
Right-Hippocampus,26,0,0.0,0.5133429162299398,0.598262175644248,2.865441313343413e-05,2.491390569808483,0.5883312681280397,0.25708555940424804,0.11616063008793771,0.9957346651552887,192.0,192.0,192.0
Right-Inf-Lat-Vent,26,0,0.0,0.5102772979846253,0.6011413968036632,0.0008067374705897848,2.5240882996380254,0.5727540805483337,0.22753603206860334,0.11380886243836238,0.9773709215212052,192.0,192.0,192.0
Right-Cerebellum-Cortex,26,0,0.0,0.5968349184497873,0.40649799175158907,0.04916583085203626,1.6069244532150615,0.48425293514623424,0.16363564543800366,0.2065008495331617,0.8247631546099115,192.0,192.0,192.0
Right-Cerebellum-White-Matter,26,0,0.0,0.16661229917730636,0.18286306071115865,0.003153416550324057,0.679969767330198,0.7322492810749192,0.15343177477956518,0.41064771504186737,0.9552780527387797,192.0,192.0,192.0
Right-Pallidum,26,0,0.0,0.3741637360895569,0.5374043738043436,2.3739085755315752e-05,2.4313973108682885,0.6592011495739444,0.2454863209319587,0.12061761644366767,0.9961176943518123,192.0,192.0,192.0
Right-Lateral-Ventricle,26,0,0.0,0.029833903218723975,0.039445467501083374,7.2045692661484465e-06,0.15461572774373708,0.8920736997399273,0.08409040946389236,0.6946107763602403,0.9978612356164309,192.0,192.0,192.0
Right-Putamen,26,0,0.0,0.5214236477377844,0.7683765553487728,0.001928989020700129,3.548378457058536,0.5991012723143364,0.24890704927434168,0.061155736301384225,0.9650148305637286,192.0,192.0,192.0
Right-Thalamus,26,0,0.0,0.49972995747269844,0.6038584021888895,0.0033149270076194073,2.150297498098401,0.5971460381125845,0.25608864136358916,0.14422186644500973,0.954148318079456,192.0,192.0,192.0
Right-WM-hypointensities,0,0,0.0,,,,,,,,,0.0,0.0,0.0
Right-VentralDC,26,0,0.0,0.34691940261587495,0.5357125892836363,0.0003486181190659065,2.31798198776549,0.6760662226713349,0.2403346400677158,0.1295750697672063,0.9851232156999327,192.0,192.0,192.0
Right-non-WM-hypointensities,0,0,0.0,,,,,,,,,0.0,0.0,0.0
SubCortGrayVol,26,0,0.0,0.18182842252113857,0.22625610946074884,0.0033157760454518145,0.9171621784599127,0.7331261637360081,0.17361688243178397,0.3394577043079319,0.9541424530802379,192.0,192.0,192.0
SupraTentorialVol,26,0,0.0,1.1777929237743916,0.48764247661427057,0.2987315908916643,2.5919098223038475,0.3010918914813227,0.10495854813343114,0.1090975131113694,0.5853302514334497,192.0,192.0,192.0
SupraTentorialVolNotVent,26,0,0.0,1.2386759495269002,0.49892387865128884,0.28620242430417303,2.6623045038895987,0.288826697309993,0.10467038891600088,0.10443466888667052,0.5933000174249474,192.0,192.0,192.0
SurfaceHoles,26,0,0.0,0.15920320962892648,0.21919973445317337,0.003710321205987989,0.7897702339404139,0.7524095833394919,0.1661348808658758,0.3753113231759799,0.9514940202087949,192.0,192.0,192.0
TotalGrayVol,26,0,0.0,0.697478186891421,0.20940265223029325,0.3610580095923244,1.1162716965579476,0.41336944915625146,0.07067779560937237,0.29208568037577426,0.5486468473326869,192.0,192.0,192.0
WM-hypointensities,26,0,0.0,0.9021460654674303,0.614629172126465,0.01498490087476016,2.808311462237456,0.412624727638951,0.22124273192129948,0.09544821315430708,0.9027035328775577,192.0,192.0,192.0
dx_group,0,0,0.0,,,,,,,,,0.0,0.0,0.0
lhCerebralWhiteMatterVol,26,0,0.0,0.6314705835695853,0.5078217113916939,0.0007063625818880931,2.425743932828051,0.48486312269119597,0.18480358485247514,0.12104734888719508,0.978825074054192,192.0,192.0,192.0
lhCortexVol,26,0,0.0,1.0943554799529758,0.4066052912283476,0.3259337012764624,1.8549327927886132,0.314143876478238,0.09377960315610079,0.17484917070007203,0.5687487695468729,192.0,192.0,192.0
lhSurfaceHoles,24,0,0.0,0.3483304349105985,0.32049352243755946,0.014628851175350961,1.2647974446589978,0.6167608807176151,0.1913672594651865,0.2621864432949864,0.9038606676710308,192.0,192.0,192.0
non-WM-hypointensities,0,0,0.0,,,,,,,,,17.423076923076923,10.0,23.0
rejected_images,0,0,0.0,,,,,,,,,0.0,0.0,0.0
rhCerebralWhiteMatterVol,26,0,0.0,0.39275244128577214,0.3416812014702492,0.003933650435945324,1.1691879464693766,0.595769513673089,0.20034375966967952,0.28096062087183754,0.9500573979095611,192.0,192.0,192.0
rhCortexVol,26,0,0.0,0.5767667178381545,0.2484512299162281,0.20828656122242975,1.1931842330076605,0.4645362396845887,0.09766713744144771,0.27609346735220247,0.6486433249899316,192.0,192.0,192.0
rhSurfaceHoles,26,0,0.0,0.35365377062598213,0.3673443520150718,0.004470639882939763,1.5448058124109019,0.6177884850556746,0.19015058162311949,0.2154600526577564,0.9467623257717854,192.0,192.0,192.0
subject,0,0,0.0,,,,,,,,,0.0,0.0,0.0
visit,0,0,0.0,,,,,,,,,0.0,0.0,0.0
