metric,region,pd_mean,pd_sd,control_mean,control_sd,univariate_F,p_value,adjusted_F,adjusted_p_value,hemisphere,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high,test,sample_size,alpha,std_p,std_p_low,std_p_high,proba_significant,significant,version,univariate_p_value,study
cortical thickness,lh-caudalmiddlefrontal,2.53,0.19,2.61,0.98,4.3,0.04,0.7,0.38,lh,0.1730423889259097,0.0194277295234588,0.1122715055198241,198,hc & pd,0.1683284632673227,0.1778906751844744,F,55,0.05,0.016723139490539194,0.016267576915230925,0.017191686925045295,0.7534555409856839,True,univariate,,cross-sectional
cortical thickness,lh-fusiform,2.68,0.14,2.77,0.95,5.7,0.02,4.5,0.03,lh,0.2094702334566952,0.0234991115572109,0.1121835363880902,198,hc & pd,0.2037639604773935,0.2153391518225949,F,55,0.05,0.010549543964702009,0.010262159085827659,0.010845120148986472,0.986726527379829,True,univariate,,cross-sectional
cortical thickness,lh-parahippocampal,2.61,0.37,3.0,0.23,16.3,0.001,14.4,0.001,lh,0.1427667535631283,0.0319809077660166,0.2240080898938095,198,hc & pd,0.1388775801242286,0.1467667797635084,F,55,0.05,8.131484768181762e-05,7.909971329023491e-05,8.359311985015803e-05,1.0,True,univariate,,cross-sectional
cortical thickness,lh-posteriorcingulate,2.37,0.16,2.48,0.17,5.0,0.02,6.1,0.01,lh,0.2156263418968833,0.0254205623137055,0.1178917292297347,198,hc & pd,0.2097523675947245,0.2216677415613947,F,55,0.05,0.01501364325712759,0.014604649838706006,0.015434294178247798,0.9524499071712837,True,univariate,,cross-sectional
cortical thickness,lh-precentral,2.27,0.19,2.41,0.18,7.6,0.008,4.9,0.03,lh,0.2064935031598671,0.0282968294944956,0.1370349626573397,198,hc & pd,0.2008683206313619,0.212279019761129,F,55,0.05,0.0044003340084852105,0.004280462527758988,0.0045236221752682545,0.9999996303781067,True,univariate,,cross-sectional
cortical thickness,rh-caudalanteriorcingulate,2.39,0.3,2.56,0.24,4.2,0.04,4.0,0.05,rh,0.2244641881876472,0.0358549046579988,0.1597355237265061,198,hc & pd,0.2183494581339337,0.2307532058432924,F,55,0.05,0.022740205650331507,0.022120729465553806,0.023377338709206722,0.7210330869422024,True,univariate,,cross-sectional
cortical thickness,rh-isthmuscingulate,2.2,0.16,2.3,0.12,5.1,0.01,2.6,0.11,rh,0.2196327768476729,0.0315758316890172,0.1437664821353908,198,hc & pd,0.2136496614464388,0.2257864284502113,F,55,0.05,0.014597607468527101,0.014199947468413871,0.015006601935934073,0.9721809063195113,True,univariate,,cross-sectional
cortical thickness,rh-parahippocampal,2.67,0.29,2.91,0.21,2.0,0.001,8.3,0.006,rh,0.1593007639693068,0.0296399923296067,0.1860630896617519,198,hc & pd,0.1549611801056736,0.163764038602333,F,55,0.05,0.04653345998055779,0.045265821037598554,0.04783723032253919,0.9989999999970556,True,univariate,,cross-sectional
cortical thickness,rh-precentral,2.28,0.22,2.41,0.1,5.5,0.02,4.1,0.05,rh,0.1867640449233004,0.0271037228968972,0.1451228094145645,198,hc & pd,0.181676321453172,0.191996783318881,F,55,0.05,0.010313949256332517,0.010032982319025573,0.010602924569037088,0.9881490968520553,True,univariate,,cross-sectional
cortical thickness,rh-superiortemporal,2.85,0.13,2.92,0.09,4.6,0.02,3.01,0.07,rh,0.1140813196589107,0.0156089630677289,0.136823128575282,198,hc & pd,0.1109735790455061,0.1172776399241033,F,55,0.05,0.009575194118856075,0.009314351942999656,0.009843471055840667,0.9921198110794927,True,univariate,,cross-sectional
cortical thickness,rh-transversetemporal,2.25,0.25,2.39,0.17,4.3,0.04,3.1,0.08,rh,0.1934608292885966,0.036090339253221,0.1865511451901357,198,hc & pd,0.1881906756992035,0.1988811975927584,F,55,0.05,0.01869641568306026,0.01818709820218728,0.019220250194379947,0.7396412792625083,True,univariate,,cross-sectional
cortical thickness,lh-caudalmiddlefrontal,2.53,0.19,2.61,0.98,4.3,0.38,0.7,,lh,0.1730423889259097,0.0194277295234588,0.1122715055198241,198,hc & pd,0.1683284632673227,0.1778906751844744,F,55,0.05,0.09642438809539974,0.09379764790776242,0.09912599802285861,5.173566309676067e-07,False,adjusted,0.04,cross-sectional
cortical thickness,lh-fusiform,2.68,0.14,2.77,0.95,5.7,0.03,4.5,,lh,0.2094702334566952,0.0234991115572109,0.1121835363880902,198,hc & pd,0.2037639604773935,0.2153391518225949,F,55,0.05,0.018425980763940468,0.01792403032250869,0.01894223825375494,0.8642252837187174,True,adjusted,0.02,cross-sectional
cortical thickness,lh-parahippocampal,2.61,0.37,3.0,0.23,16.3,0.001,14.4,,lh,0.1427667535631283,0.0319809077660166,0.2240080898938095,198,hc & pd,0.1388775801242286,0.1467667797635084,F,55,0.05,0.00017224633142294896,0.0001675540915253608,0.0001770723138132153,1.0,True,adjusted,0.001,cross-sectional
cortical thickness,lh-posteriorcingulate,2.37,0.16,2.48,0.17,5.0,0.01,6.1,,lh,0.2156263418968833,0.0254205623137055,0.1178917292297347,198,hc & pd,0.2097523675947245,0.2216677415613947,F,55,0.05,0.009040239467445345,0.0087939702322026,0.009293528092597857,0.9963988186351241,True,adjusted,0.02,cross-sectional
cortical thickness,lh-precentral,2.27,0.19,2.41,0.18,7.6,0.03,4.9,,lh,0.2064935031598671,0.0282968294944956,0.1370349626573397,198,hc & pd,0.2008683206313619,0.212279019761129,F,55,0.05,0.01506347860042243,0.014653127594967279,0.01548552580375757,0.8978294227205288,True,adjusted,0.008,cross-sectional
cortical thickness,rh-caudalanteriorcingulate,2.39,0.3,2.56,0.24,4.2,0.05,4.0,,rh,0.2244641881876472,0.0358549046579988,0.1597355237265061,198,hc & pd,0.2183494581339337,0.2307532058432924,F,55,0.05,0.02499574365851821,0.024314823346918715,0.025696072180647483,0.563541917393972,True,adjusted,0.04,cross-sectional
cortical thickness,rh-isthmuscingulate,2.2,0.16,2.3,0.12,5.1,0.11,2.6,,rh,0.2196327768476729,0.0315758316890172,0.1437664821353908,198,hc & pd,0.2136496614464388,0.2257864284502113,F,55,0.05,0.04786498014104038,0.04656106865764533,0.049206056896422226,0.08034215254203089,False,adjusted,0.01,cross-sectional
